# Time-averaged data for fix printp
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
0 833.5 1626.63 991.545 47063.2 50533.4 50563.6
2 526.451 1154.37 1774.73 46565.6 50137.6 50594.6
4 365.242 718.472 2211.99 46560.5 49903.9 51100
6 361.425 309.11 2465.14 46857.8 49620.3 51937.1
8 444.718 -12.2671 2479.07 47180.4 49019.7 52670.8
10 610.065 -371.246 2255.46 47098.4 48157 53034.4
12 867.117 -701.644 1933.23 47469.3 47523 53403.8
14 1193.57 -854.035 1536.99 48636 47441.8 54295.5
16 1504 -964.099 1105.12 50555.6 47835 55573.6
18 1779.91 -1007.49 559.446 52580.4 48666.7 56789.6
20 1963.37 -907.886 214.177 54260.8 49599.1 57770.7
22 2013.32 -577.071 266.719 55495.2 50378.5 58444
24 2085.79 -201.675 567.411 56571.3 51303.9 59070.4
26 2084.86 88.9936 815.77 57412.3 52580.1 59601.5
28 2026.4 162.788 1019.95 57838.2 54072.3 59966.9
30 1800.59 230.71 1350.51 57837.8 55511 60139.6
32 1199.59 424.862 1884.49 57451.5 56703.2 60115.4
34 446.565 574.439 2276.16 56457.1 57424.4 59367.5
36 -182.118 608.031 2479.82 54555.4 57004.5 57565.5
38 -564.394 519.954 2625.75 51998.5 55558.1 54980
40 -832.16 525.229 2739.38 49578.2 53866 52312.9
42 -1049.29 680.919 2913.31 47900.4 52461.4 50272.1
44 -1171.07 823.858 3163.33 46831.7 51472.6 48814.4
46 -1287.21 802.944 3277.51 46402.1 50582.4 47826.4
48 -1379.88 622.445 3202.04 46371.5 49649.9 47253.9
50 -1398.56 536.866 2897.27 46722.6 48495.9 47043.9
52 -1264.06 666.97 2423.15 47368.6 47385.1 47157.1
54 -1141.12 769.115 1988.08 48623.8 46436.8 47739.2
56 -976.128 770.154 1727 50186.5 45598.4 48716.2
58 -763.279 585.361 1624.65 51784.3 45146.7 50167.2
60 -602.833 297.02 1604.23 53448 45110 51660.6
62 -489.087 74.9229 1661.61 55364.7 45747.1 53424.1
64 -219.558 17.3313 1639.45 57184 46907.7 55358.8
66 6.64272 -125.267 1383.98 58258.3 47896.9 56941.7
68 105.883 -547.36 927.711 58410.6 48452.2 57758.8
70 -13.7748 -1158.95 363.256 57839.7 48910.6 57879.8
72 -361.589 -1728.44 -66.7235 57125.4 49764.8 57819.5
74 -831.761 -2279.11 -380.798 56248.7 50762.6 57442.3
76 -1208.42 -2709.8 -688.282 55019.1 51660.5 56619.5
78 -1518.04 -3107.92 -943.403 53665.3 52425.5 55445.5
80 -1710.75 -3443.16 -1071.87 52294.4 53018.7 54106.1
82 -1790.26 -3708.63 -935.303 51356.1 53427.7 52824.9
84 -1642.42 -3810.47 -635.5 50673.6 53860 51644
86 -1277.07 -3529.54 -173.073 49778.9 54161.7 50539.9
88 -653.155 -3037.18 490.482 48743.5 53922 49496.2
90 133.066 -2575.01 1113.71 47784.8 53045.3 48563.5
92 888.302 -2020.98 1531.63 46974.3 51664.4 47703.7
94 1465.57 -1261.67 1800.63 46640.6 50242.2 47036.9
96 1844.84 -408.02 1941.64 46882.4 49252.1 47065.5
98 2121.4 328.094 1983.59 47681.5 48758.7 47687.5
100 2198.25 808.33 1919.71 48934 48725.1 48677.9
102 2018.68 977.135 1838.36 50291.8 48606.6 49721.9
104 1580.16 1050.22 1781.96 51277.2 48539.5 50694.8
106 1066.09 1058.54 1676.53 51961.9 48842.4 51705.7
108 450.345 771.769 1397.86 52757.8 49394.3 52796.4
110 -316.275 136.409 1061.75 53563.7 49870.7 53731.5
112 -1037.17 -533.069 696.624 53936 50010.6 54174.5
114 -1623.06 -1172.92 298.767 53746.1 49707.9 53831.7
116 -2189.28 -1653.88 -114.75 53229.3 49134.9 53070.9
118 -2712.55 -2059.11 -428.255 52436 48523.6 52358.6
120 -3222.48 -2398.66 -529.782 51530.3 48027.1 51748.6
122 -3693.92 -2612.19 -428.799 50580.7 47822.2 51139.4
124 -3999.85 -2532.96 -19.5177 49930.2 48011.2 50768.1
126 -4066.51 -2321.65 560.123 49470.5 48427.5 50661.4
128 -4090.29 -1951.93 986.574 48966.1 48860 50659.7
130 -4114.03 -1404.44 1184.76 48664.9 49396.8 50950.3
132 -4007.01 -845.006 1567.42 48741.6 49823.5 51126.7
134 -3618.74 -402.974 2057.87 49004.9 49969.2 51171.1
136 -2950.79 119.94 2443.68 49200.8 49808.3 51278.6
138 -2287.09 609.595 2795.65 49668.7 49630.3 51713.6
140 -1667.17 1020.64 3072.78 50659.1 49679.4 52452.8
142 -1149.57 1380.66 3186.24 51817.3 49748 53039.4
144 -797.067 1615.15 3051.85 52888.8 49596.5 53206
146 -556.743 1586.5 2678.25 53899.8 49155.5 52859
148 -463.248 1341.88 2109.34 54823.9 48631.2 52523
150 -505.691 1074.12 1353.38 55553.2 48089.7 52256.1
152 -717.034 795.722 470.529 55980.2 47429.9 51850.2
154 -1045 628.547 -398.825 56390.8 46826.1 51258.4
156 -1437.95 419.804 -1048.28 56576.6 46580 50578.7
158 -1851.81 238.707 -1560.76 56519.6 46838.9 49902
160 -2280.31 90.7614 -1916.13 56200 47320.6 49424.8
162 -2709.9 28.3217 -1947.61 55492.1 47426.5 48949.3
164 -3069.88 186.03 -1617.05 54302.9 47232.3 48325.4
166 -3280.88 550.382 -1084.77 52808.2 47153.2 47766.8
168 -3383.06 1124.11 -509.821 51282.9 47426.7 47558.2
170 -3454.33 1824.81 -12.7428 49966 47919.3 47718.1
172 -3643.46 2546.95 411.598 48699.7 48221.9 48073.7
174 -3867.63 3293.54 675.148 47806 48587.8 48832.9
176 -3953.87 3967.97 982.987 47362 49468.1 49835.1
178 -4054.91 4267.87 1189.4 46880.7 50363 50510.6
180 -4330.19 4259.31 1178.32 46441.7 51155.1 50952.7
182 -4489.56 4062.1 984.679 46444 51958.3 51975
184 -4535.6 3592.51 719.009 46960.3 52693.5 53060.7
186 -4325.08 2849.23 521.113 47785.4 53219.2 53607.4
188 -3930.7 1887.51 277.028 48740.3 53557.2 54105
190 -3504.07 907.506 32.3479 49780.4 53740.4 54733.9
192 -3104.31 88.722 -337.868 50908.1 53675 55038
194 -2795.03 -654.832 -746.292 51944.5 53274 55038.6
196 -2591.18 -1248.05 -1278.32 52807.9 52659.1 54831.4
198 -2469.21 -1746.99 -1602.41 53402.5 51870.6 54657.2
200 -2325.02 -2164.8 -1571.91 53500.8 50645.1 54312.1
202 -2281.6 -2350.47 -1416.57 53487.1 49511.4 53890.8
204 -2317.11 -2241.85 -1403.59 53400.1 48515.9 53158.7
206 -2326.19 -1878.56 -1324.71 52722.5 47341.6 51742.4
208 -2299.44 -1288.12 -1050.25 51759.2 46348.7 50236.6
210 -2289.44 -636.729 -711.501 51107.6 45964.5 49269.8
212 -2178.56 11.3449 -349.133 50751.9 46208.6 48720
214 -2047.46 711.959 32.888 50349 46570.3 48317.6
216 -1975.76 1466.37 317.759 49916.9 46896.3 47982.9
218 -1889.88 1960.18 400.95 49490.1 47412.5 47694.2
220 -1720.27 2115.2 337.507 48684.3 48046.8 47497.1
222 -1467.03 2124.67 219.109 47917.7 48766.2 47706.6
224 -1044.24 1901.83 -6.88139 47774.5 49577.2 48228.2
226 -568.699 1563.02 -122.503 47863.1 50329.9 48894.7
228 -84.6171 1190.79 -151.018 47951.6 51083.7 49406.1
230 278.244 808.424 -299.348 47868.3 51308.8 49560
232 558.582 368.703 -516.5 47816.5 51077.9 49854.3
234 770.326 -170.865 -463.955 47734.2 50585.6 50347.7
236 807.634 -662.106 -510.475 47529.4 50077 50693.7
238 846.183 -951.101 -725.816 47449.9 49514.9 50859.2
240 906.671 -1091.31 -837.986 47540.4 48961.3 51010.5
242 992.228 -1057.84 -888.257 47824.4 48534.1 51265.3
244 1099.01 -717.782 -835.832 48287 48447.8 51583.8
246 1072.44 -137.769 -816.519 48653.9 48333.9 51776.8
248 750.752 369.317 -991.533 48829.2 47735.2 51439.2
250 249.065 826.104 -1112.24 48822.6 46939.5 50859.1
252 -426.113 1434.1 -1204.19 48697 46269 50289.7
254 -1204.71 2052.73 -1279.46 48606.6 45941.3 49843.5
256 -1845.41 2466.51 -1228.65 48679.3 46132.4 49911.9
258 -2154.29 2640.43 -1246.43 48834.9 46476.1 50202.7
260 -2126.62 2718.51 -1355.91 49109.4 46579.5 50498.8
262 -1952.03 2559.28 -1310.35 49548.2 46632 51025.5
264 -1607.85 2364.15 -1048.92 50024 46688.5 51616.4
266 -1000.53 2225.72 -787.096 50717.3 46936.7 52097.7
268 -182.976 2121.24 -664.558 51372.2 47289.2 52419.1
270 759.624 1876.32 -558.651 51889.4 47623.6 52563.1
272 1656.86 1581.07 -469.121 52174.4 48066.9 52595
274 2443.92 1299.72 -449.501 52597.8 48413.3 52649.9
276 3006.92 1125.12 -452.219 53371.2 48904.3 53021.4
278 3334.56 877.223 -504.818 54073.4 49404.9 53424.8
280 3296.66 570.869 -664.203 54102.4 49803.4 53602.4
282 2936.49 297.984 -888.731 53749.6 50362 53793.1
284 2474.83 261.479 -997.993 53147.3 50793.3 54109
286 1831.74 317.588 -1059.48 52501.9 50909.6 54451.9
288 996.965 482.549 -1232.97 51712.6 50736.3 54687.4
290 96.7186 625.058 -1454.96 51118.4 50553.8 54957.3
292 -585.448 815.884 -1663.23 50656.5 50577.1 55350.8
294 -919.432 1238.41 -1661.03 50156.8 50710.7 55755.8
296 -1067.56 1675.94 -1536.08 49815.5 50505.1 55601
298 -1211.39 1997.17 -1449.17 49678.9 49859.6 54766.5
300 -1194.96 2275.45 -1232.23 49751.5 49071.3 53747.3
302 -1038.54 2534.98 -963.505 49841.4 48391.2 52865.5
304 -846.94 2749.94 -776.995 50119.7 47978.5 52399.9
306 -576.192 2848.67 -575.162 50381 47672.2 51723.7
308 -411.633 2704.86 -388.383 50803.9 47551.9 50602.7
310 -411.206 2385.53 -315.377 51338.9 47999.9 49665.7
312 -502.555 2029.49 -409.385 52263.4 49352 49490.9
314 -709.888 1689.69 -633.173 53351.5 51269 49798.7
316 -820.152 1384.49 -881.358 53872.1 52758.3 49943.9
318 -786.249 1122.33 -987.082 53327.4 53261.3 49750.9
320 -825.829 1046.25 -983.373 52291.3 52925.2 49301.9
322 -1082.79 993.301 -947.942 51372.4 52403.6 48946.7
324 -1371.51 955.785 -944.192 50857.9 52147.8 49007.1
326 -1582.9 1015.13 -1106.23 50687.3 51750.7 49268
328 -1715.3 1328.4 -1333.34 50701.5 51379.3 49619.7
330 -1796.79 1581.49 -1331.1 50779.2 51360.2 50304.8
332 -1802.95 1785.59 -1282.9 50761.1 51229.9 50762.3
334 -1670.45 1977.49 -1347.31 50728.5 50812.6 50788.8
336 -1456.19 2145.17 -1177.3 50701.2 50563.7 50876.3
338 -1255.68 2257.97 -824.214 50850.3 50429.3 51192.5
340 -1102.68 2343.23 -379.028 51151.8 50340.4 51749.9
342 -873.009 2342.88 152.451 51457.5 50178.8 52272.4
344 -569.935 2119.45 844.377 51524 49577 52386.2
346 -285.342 1591.96 1664.36 51336.2 48595.8 51921.3
348 -69.1742 954.812 2247.13 50982.8 47584.8 51557.5
350 0.727287 500.353 2586.24 50462.9 46842.6 51575
352 -54.6092 34.8062 2640 49776.7 45989.8 51517.9
354 -170.595 -538.053 2204.82 49051 45050.7 51047.5
356 -276.513 -993.538 1578.84 48651.8 44449.1 50715.5
358 -355.899 -1247.04 864.919 48546.1 44271.6 50667.3
360 -423.42 -1353.56 152.744 48561 44209.8 50551.8
362 -547.249 -1355.11 -497.009 48462.7 44132 50025
364 -736.591 -1267.49 -1002.89 48309.2 44302.8 49365.6
366 -871.391 -1048.85 -1349.13 48434.7 45144.4 49027.1
368 -793.959 -888.134 -1592.78 49075.7 46599.3 49043.8
370 -672.999 -714.696 -1488.59 49934.2 48585.8 49303.1
372 -586.38 -386.327 -1098.35 50833.6 50599.9 49667.5
374 -538.721 59.7134 -474.72 51633.7 52344.2 50283
376 -524.142 470.04 164.239 52257 53693.1 50855.8
378 -521.541 478.798 653.803 52584.1 54869.2 51323.6
380 -485.515 292.483 918.791 52744.8 55914.6 51762.1
382 -541.197 80.4989 1231.93 52732.8 56418 52107.7
384 -743.213 -0.74445 1519.11 52577 56439.2 52150.2
386 -970.978 50.6059 1711.48 52592 56170.9 52238.5
388 -988.909 63.1226 1555.94 52838.6 55696.6 52299.9
390 -765.986 -25.925 1193.35 52740.1 54879.8 52094.6
392 -401.368 -109.004 915.216 52490.4 53857.2 51757.7
394 111.149 -98.0194 827.944 52676.3 52783.6 51545.1
396 615.959 -159.565 667.414 52823.5 51588.3 50932.7
