Box size: max: 28.688099 min: 3.311927 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Viscosity(in Pa s)
0      0.0          22302518.43105079    0.0    0.0
2      0.001          21707363.588145126    22004941.009597957    7.94626363714756e-05
4      0.002          19991456.410351947    42854351.00884649    0.00015475250352483288
6      0.003          17352765.312837746    61526461.87044134    0.00022217986699904653
8      0.004          14041538.512635963    77223613.7831782    0.00027886427592182286
10      0.005          10340546.895874426    89414656.48743339    0.0003228876792554117
12      0.006          6555643.375670657    97862751.62320593    0.00035339482360597914
14      0.007          2992627.731508724    102636887.17679562    0.00037063483335277015
16      0.008          -71652.08997315654    104097374.9975634    0.0003759088403394746
18      0.009          -2414014.7637607376    102854541.57069646    0.0003714208110088635
20      0.01          -3884515.5545821944    99705276.411525    0.00036004841459701006
22      0.011          -4418195.888410309    95553920.69002874    0.00034505734191010674
24      0.012          -4036959.4020295986    91326343.04480879    0.0003297910221772902
26      0.013          -2842740.8786469265    87886492.90447053    0.00031736928649734236
28      0.014          -1004206.0319681811    85963019.44916297    0.0003104233795902244
30      0.015          1261758.9827561234    86091795.92455694    0.00031088840779606997
32      0.016          3711058.4524155585    88578204.64214279    0.0003198671454218701
34      0.017          6094440.471710887    93480954.10420601    0.0003375715963247128
36      0.018          8181210.851582039    100618779.76585248    0.00036334719121437916
38      0.019          9779630.63226666    109599200.50777683    0.0003957766309282659
40      0.02          10752347.563746061    119865189.6057832    0.0004328484212290261
42      0.021          11028623.880548824    130755675.32793063    0.0004721753481437717
44      0.022          10607888.128952807    141573931.33268145    0.0005112414443766174
46      0.023          9555699.576097786    151655725.18520674    0.0005476480822551724
48      0.024          7994143.849405091    160430646.89795816    0.0005793354388785961
50      0.025          6087333.812920483    167471385.72912094    0.0006047604408944246
52      0.026          4023504.309110268    172526804.7901363    0.0006230162011064457
54      0.027          1996365.7674275695    175536739.82840523    0.0006338854587583251
56      0.028          186697.19836812792    176628271.31130308    0.0006378271175555788
58      0.029          -1253292.3773915546    176094973.72179136    0.0006359013122369155
60      0.03          -2212884.873845386    174361885.0961729    0.0006296429091265873
62      0.031          -2631394.7979868944    171939745.26025677    0.0006208962545939383
64      0.032          -2501278.5757114827    169373408.5734076    0.000611628886921154
66      0.033          -1866331.8598282328    167189603.35563773    0.0006037428889605101
68      0.034          -816141.8799439003    165848366.48575166    0.0005988995123010005
70      0.035          521956.7394917273    165701273.9155256    0.0005983683423507735
72      0.036          1995550.7330123973    166960027.65177765    0.0006029138619402787
74      0.037          3445038.860411407    169680322.44848955    0.0006127371918987661
76      0.038          4723569.9410196245    173764626.84920508    0.0006274861337515489
78      0.039          5710110.8548061615    178981467.24711797    0.0006463248069098438
80      0.04          6316216.583595781    184994630.9663189    0.0006680391047056252
82      0.041          6491293.969544921    191398386.24288926    0.0006911638782159054
84      0.042          6224819.748321613    197756443.10182253    0.000714123628936901
86      0.043          5545551.797115587    203641628.87454113    0.0007353757821161412
88      0.044          4519314.130943253    208674061.83857056    0.0007535485366129643
90      0.045          3242044.9655064205    212554741.3867954    0.0007675621632652834
92      0.046          1828442.9709129788    215089985.35500512    0.0007767172511826269
94      0.047          399128.2570337766    216203770.9689785    0.0007807392724732245
96      0.048          -930877.0109150712    215937896.59203783    0.0007797791663349661
98      0.049          -2060746.509473552    214442084.83184353    0.0007743776001172401
100      0.05          -2909416.501394536    211957003.3264095    0.0007654036552230615
102      0.051          -3420277.1495841676    208792156.50092015    0.0007539749914354337
104      0.052          -3566782.478888195    205298626.68668395    0.0007413594116363115
106      0.053          -3356388.752371071    201837041.0710543    0.0007288591863949199
108      0.054          -2827674.142704591    198745009.62351647    0.000717693468183828
110      0.055          -2043703.5005778768    196309320.80187523    0.0007088978865431536
112      0.056          -1084974.4329106607    194744981.835131    0.0007032488598803734
114      0.057          -43947.55027267463    194180520.84353933    0.0007012105195593896
116      0.058          982615.5484915848    194649854.84264877    0.0007029053442304368
118      0.059          1904260.7590304539    196093292.9964098    0.0007081177827044594
120      0.06          2647622.1262431475    198369234.4390466    0.0007163364962733864
122      0.061          3163018.849947414    201274554.92714188    0.0007268279774996899
124      0.062          3424807.796727667    204568468.25047943    0.0007387227168010752
126      0.063          3430364.1656967364    207996054.23169163    0.0007511001650450052
128      0.064          3199551.310138907    211311011.96960944    0.0007630708983998494
130      0.065          2773679.742241834    214297627.4957998    0.0007738559463322913
132      0.066          2210303.5289411256    216789619.1313913    0.000782854844583979
134      0.067          1574456.896562755    218681999.34414324    0.0007896884698437284
136      0.068          930647.6514790908    219934551.61816415    0.0007942115951655994
138      0.069          336841.5475511301    220568296.21767926    0.0007965001273930518
140      0.07          -160722.3616953306    220656355.81060717    0.0007968181217657157
142      0.071          -530235.8301303621    220310876.71469432    0.0007955705528783236
144      0.072          -757098.045168055    219667209.7770451    0.000793246189827841
146      0.073          -843357.3345926543    218866982.08716476    0.0007903564660195557
148      0.074          -805042.2581827958    218042782.29077703    0.0007873801758904781
150      0.075          -670315.9390558705    217305103.1921577    0.0007847163229882205
152      0.076          -476773.6498946433    216731558.39768243    0.0007826451799014809
154      0.077          -263969.50511497393    216361186.8201776    0.0007813077211019886
156      0.078          -68087.02337701384    216195158.55593163    0.0007807081719560303
158      0.079          82058.70903651253    216202144.3987614    0.000780733398721614
160      0.08          169266.16362351878    216327806.83509135    0.0007811871817369506
